,code,concatsize,organic,name,RRP,brand,j,price,,,barcode,case size,unit size,unit,
1,6010,6x250g,organic,Alfalfa Seeds,2.95,Infinity Foods,,13.25,,0,5028869060107,6,250,g,
1,6011,12x125g,organic,Flaked Almonds,2.47,Infinity Foods,,22.25,,0,5028869060114,12,125,g,
1,6012,12x250g,organic,Flaked Almonds,4.42,Infinity Foods,,39.65,,0,5028869060121,12,250,g,
1,6014,12x250g,organic,Ground Almonds,4.04,Infinity Foods,,36.35,,0,5028869060145,12,250,g,
1,6015,12x125g,organic,Almonds,2.18,Infinity Foods,,19.6,,0,5028869060152,12,125,g,
1,6016,6x500g,organic,Ground Almonds,7.73,Infinity Foods,,34.8,,0,5028869060169,6,500,g,
1,6017,12x125g,organic,Blanched Almonds,2.44,Infinity Foods,,22,,0,5028869060176,12,125,g,
1,6018,12x250g,organic,Blanched Almonds,4.39,Infinity Foods,,39.4,,0,5028869060183,12,250,g,
1,6020,12x250g,organic,Almonds,3.84,Infinity Foods,,34.6,,0,5028869060206,12,250,g,
1,6025,6x500g,organic,Almonds,7.35,Infinity Foods,,33.05,,0,5028869060251,6,500,g,
1,6026,6x1kg,organic,Almonds,14.02,Infinity Foods,,63.05,,0,5028869060268,6,1,kg,
1,6031,12x125g,organic,Brazil Nuts,3.93,Infinity Foods,,35.35,,0,5028869060312,12,125,g,
1,6032,12x250g,organic,Brazil Nuts,7.34,Infinity Foods,,66.1,,0,5028869060329,12,250,g,
1,6033,6x500g,organic,Brazil Nuts,14.34,Infinity Foods,,64.55,,0,5028869060336,6,500,g,
1,6035,6x250g,organic,Coconut Desiccated,1.88,Infinity Foods,,8.45,,0,5028869060350,6,250,g,
1,6036,12x250g,organic,Brazil Nuts - Broken Pieces,4.59,Infinity Foods,,41.35,,0,5028869960360,12,250,g,
1,6037,6x250g,organic,Coconut Chips,2.13,Infinity Foods,,9.6,,0,5028869060374,6,250,g,
1,6039,6x250g,organic,Toasted Coconut Chips,2.29,Infinity Foods,,10.3,,0,5028869060398,6,250,g,
1,6040,6x500g,organic,Coconut Desiccated,3.08,Infinity Foods,,13.85,,0,5028869060404,6,500,g,
1,6041,12x125g,organic,Cashews Whole,3.19,Infinity Foods,,28.75,,0,5028869060411,12,125,g,
1,6042,12x250g,organic,Cashews Whole,5.89,Infinity Foods,,52.95,,0,5028869060428,12,250,g,
1,6043,6x500g,organic,Cashews Whole,11.42,Infinity Foods,,51.4,,0,5028869060435,6,500,g,
1,6044,12x125g,organic,Cashews & Raisins,2.11,Infinity Foods,,19,,0,5028869060442,12,125,g,
1,6045,12x125g,organic,Hazelnuts,1.93,Infinity Foods,,17.4,,0,5028869060459,12,125,g,
1,6046,12x250g,organic,Cashews & Raisins,3.72,Infinity Foods,,33.4,,0,5028869060466,12,250,g,
1,6047,12x250g,organic,Fruit & Nut Mix,3.02,Infinity Foods,,27.15,,0,5028869060473,12,250,g,
1,6048,12x250g,organic,Goji Berry Hi Energy Trail Mix,2.26,Infinity Foods,,19.95,,0,5028869060480,12,250,g,
1,6049,12x125g,organic,Goji Berry Hi Energy Trail Mix,1.4,Infinity Foods,,12.4,,0,5028869060497,12,125,g,
1,6050,12x250g,organic,Hazelnuts,3.35,Infinity Foods,,30.15,,0,5028869060503,12,250,g,
1,6051,6x1kg,organic,Cashews Whole,22.17,Infinity Foods,,99.75,,0,5028869060510,6,1,kg,
1,6052,6x250g,organic,Chia Seeds,2.16,Infinity Foods,,9.7,,0,5028869060527,6,250,g,
1,6053,6x500g,organic,Chia Seeds,3.63,Infinity Foods,,16.35,,0,5028869060534,6,500,g,
1,6055,6x500g,organic,Hazelnuts,6.36,Infinity Foods,,28.6,,0,5028869060558,6,500,g,
1,6056,12x125g,organic,Roast Whole Hazelnuts,3.42,Infinity Foods,,25.65,V,5.13,5028869060565,12,125,g,
1,6058,6x250g,organic,Hemp Seeds,1.87,Infinity Foods,,8.4,,0,5028869060589,6,250,g,
1,6062,12x125g,organic,Cashews Large Pieces,2.42,Infinity Foods,,21.75,,0,5028869060626,12,125,g,
1,6063,12x250g,organic,Cashews Large Pieces,4.32,Infinity Foods,,38.9,,0,5028869060633,12,250,g,
1,6064,6x500g,organic,Cashews Large Pieces,8.3,Infinity Foods,,37.35,,0,5028869060640,6,500,g,
1,6070,12x250g,organic,Linseed Brown,1.2,Infinity Foods,,10.8,,0,5028869060701,12,250,g,
1,6073,12x125g,organic,Macadamia Nuts,4.23,Infinity Foods,,37.95,,0,5028869060732,12,125,g,
1,6074,6x250g,organic,Macadamia Nuts,8.09,Infinity Foods,,36.4,,0,5028869060749,6,250,g,
1,6075,12x450g,organic,Linseed Brown,1.75,Infinity Foods,,15.75,,0,5028869060756,12,450,g,
1,6077,12x250g,organic,Linseed Gold,1.19,Infinity Foods,,10.75,,0,5028869060770,12,250,g,
1,6078,12x450g,organic,Linseed Gold,1.74,Infinity Foods,,15.7,,0,5028869060787,12,450,g,
1,6079,6x1kg,organic,Linseed Gold,3.42,Infinity Foods,,15.4,,0,5028869060794,6,1,kg,
1,6080,6x250g,organic,Nut Mix,4.73,Infinity Foods,,21.25,,0,5028869060800,6,250,g,
1,6082,6x500g,organic,Nut Mix,8.78,Infinity Foods,,39.45,,0,5028869060824,6,500,g,
1,6084,12x250g,organic,Omega Four Seed Mix,1.49,Infinity Foods,,13.2,,0,5028869060848,12,250,g,
1,6085,12x250g,organic,Peanuts,1.59,Infinity Foods,,14.25,,0,5028869060855,12,250,g,
1,6087,6x500g,organic,Omega Four Seed Mix,2.59,Infinity Foods,,11.65,,0,5028869060879,6,500,g,
1,6090,12x500g,organic,Peanuts,2.65,Infinity Foods,,23.85,,0,5028869060909,12,500,g,
1,6092,12x125g,organic,Pecans - halves,4.49,Infinity Foods,,40.4,,0,5028869060923,12,125,g,
1,6093,6x250g,organic,Pecans - halves,8.6,Infinity Foods,,38.7,,0,5028869060930,6,250,g,
1,6094,12x125g,organic,EXTRA Large Pecan Pieces,4.21,Infinity Foods,,37.9,,0,5028869060947,12,125,g,
1,6095,12x125g,organic,Pine Kernels - Italian,6.59,Infinity Foods,,59.1,,0,5028869060954,12,125,g,
1,6096,6x250g,organic,EXTRA Large Pecan Pieces,8.06,Infinity Foods,,36.25,,0,5028869060961,6,250,g,
1,6097,6x250g,organic,Pine Kernels - Italian,12.79,Infinity Foods,,57.55,,0,5028869060978,6,250,g,
1,6098,12x125g,organic,Poppy Seeds,1.47,Infinity Foods,,13.2,,0,5028869060985,12,125,g,
1,6099,6x250g,organic,Poppy Seeds,2.59,Infinity Foods,,11.65,,0,5028869060992,6,250,g,
1,6100,12x125g,organic,Pumpkin Seeds - AA grade,1.09,Infinity Foods,,9.8,,0,5028869061005,12,125,g,
1,6101,12x125g,organic,Raw Pistachio Kernels,5.99,Infinity Foods,,53.85,,0,5028869061012,12,125,g,
1,6102,6x250g,organic,Raw Pistachio Kernels,11.6,Infinity Foods,,52.2,,0,5028869061029,6,250,g,
1,6103,12x125g,organic,Pistachios - roasted & salted,3.73,Infinity Foods,,33.55,,0,5028869961039,12,125,g,
1,6104,12x250g,organic,Pistachios - roasted & salted,6.94,Infinity Foods,,62.5,,0,5028869961046,12,250,g,
1,6105,12x250g,organic,Pumpkin Seeds - AA grade,1.67,Infinity Foods,,15.05,,0,5028869061050,12,250,g,
1,6110,6x500g,organic,Pumpkin Seeds - AA grade,3,Infinity Foods,,13.5,,0,5028869061104,6,500,g,
1,6112,6x1kg,organic,Pumpkin Seeds - AA grade,5.54,Infinity Foods,,24.95,,0,5028869061128,6,1,kg,
1,6113,12x250g,organic,"Three Seed Mix (sunflower, pumpkin, pine)",1.7,Infinity Foods,,15.3,,0,5028869061135,12,250,g,
1,6115,12x250g,organic,Hulled Sesame Seeds - white,1.75,Infinity Foods,,15.75,,0,5028869061159,12,250,g,
1,6120,12x125g,organic,Austrian Pumpkin Seeds,1.88,Infinity Foods,,16.9,,0,5028869061203,12,125,g,
1,6121,6x250g,organic,Austrian Pumpkin Seeds,3.41,Infinity Foods,,15.35,,0,5028869061210,6,250,g,
1,6122,6x500g,organic,Austrian Pumpkin Seeds,6.14,Infinity Foods,,27.65,,0,5028869061227,6,500,g,
1,6125,12x250g,organic,Sesame Seeds - whole - brown,1.41,Infinity Foods,,12.7,,0,5028869061258,12,250,g,
1,6127,12x400g,organic,Sesame Seeds - whole - brown,1.95,Infinity Foods,,17.55,,0,5028869061272,12,400,g,
1,6128,6x250g,organic,Black Sesame Seeds - whole,1.99,Infinity Foods,,8.95,,0,5028869061289,6,250,g,
1,6130,12x250g,organic,Sunflower Seed - kernels,1.07,Infinity Foods,,9.65,,0,5028869061302,12,250,g,
1,6135,12x500g,organic,Sunflower Seed - kernels -,1.63,Infinity Foods,,14.7,,0,5028869061357,12,500,g,
1,6140,6x1kg,organic,Sunflower Seed - kernels,3.15,Infinity Foods,,14.15,,0,5028869061401,6,1,kg,
1,6141,12x125g,organic,Tigernuts - Blanched,1.73,Infinity Foods,,15.55,,0,5028869961418,12,125,g,
1,6142,12x250g,organic,Tigernuts - Blanched,2.94,Infinity Foods,,26.5,,0,5028869961425,12,250,g,
1,6143,12x250g,organic,Trail Mix,2.3,Infinity Foods,,20.7,,0,5028869061432,12,250,g,
1,6145,12x125g,organic,Walnut Light Pieces,2.37,Infinity Foods,,21.3,,0,5028869061456,12,125,g,
1,6150,12x250g,organic,Walnut Light Pieces,4.23,Infinity Foods,,38.05,,0,5028869061500,12,250,g,
1,6155,6x500g,organic,Walnut Light Pieces,8.11,Infinity Foods,,36.5,,0,5028869061555,6,500,g,
1,6160,12x125g,organic,Walnut Halves - Light,2.67,Infinity Foods,,24,,0,5028869061609,12,125,g,
1,6165,12x250g,organic,Walnut Halves - Light,4.82,Infinity Foods,,43.35,,0,5028869061654,12,250,g,
1,6167,6x500g,organic,Walnut Halves - Light,9.29,Infinity Foods,,41.8,,0,5028869061678,6,500,g,
1,6515,12x125g,,Almonds,1.68,Infinity Foods,,15.15,,0,5028869065157,12,125,g,
1,6520,12x250g,,Almonds,2.86,Infinity Foods,,25.75,,0,5028869065201,12,250,g,
1,6525,12x500g,,Almonds,5.21,Infinity Foods,,46.9,,0,5028869065256,12,500,g,
1,6575,12x125g,,Brazil Nuts,3.68,Infinity Foods,,33.1,,0,5028869065751,12,125,g,
1,6580,12x250g,,Brazil Nuts,6.84,Infinity Foods,,61.6,,0,5028869065805,12,250,g,
1,6585,12x500g,,Brazil Nuts,13.18,Infinity Foods,,118.6,,0,5028869065850,12,500,g,
1,6615,12x125g,,Cashews - large pieces,2.06,Infinity Foods,,18.45,,0,5028869066154,12,125,g,
1,6620,12x250g,,Cashews - large pieces,3.6,Infinity Foods,,32.35,,0,5028869066208,12,250,g,
1,6625,12x500g,,Cashews - large pieces,6.67,Infinity Foods,,59.95,,0,5028869066253,12,500,g,
1,6635,12x125g,,Cashews Whole,2.43,Infinity Foods,,21.9,,0,5028869066352,12,125,g,
1,6640,12x250g,,Cashews Whole,4.36,Infinity Foods,,39.25,,0,5028869066406,12,250,g,
1,6643,6x500g,,Cashews Whole,8.39,Infinity Foods,,37.7,,0,5028869066437,6,500,g,
1,6705,12x250g,,Chia Seeds,1.37,Infinity Foods,,12.3,,0,5028869067052,12,250,g,
